method,evaluation,mean_best_so_far
static_features,8,0.74800000
static_features,9,0.74800000
static_features,10,0.74800000
static_features,11,0.75600000
static_features,12,0.75600000
static_features,13,0.75600000
static_features,14,0.75600000
static_features,15,0.75800000
static_features,16,0.76000000
static_features,17,0.76000000
static_features,18,0.76000000
static_features,19,0.76000000
static_features,20,0.76000000
static_features,21,0.76000000
static_features,22,0.76000000
static_features,23,0.76000000
static_features,24,0.76000000
static_features,25,0.76200000
static_features,26,0.76200000
static_features,27,0.76200000
static_features,28,0.76200000
static_features,29,0.76200000
static_features,30,0.76200000
independent_extraction,1,0.66600000
independent_extraction,2,0.73200000
independent_extraction,3,0.74000000
independent_extraction,4,0.75600000
independent_extraction,5,0.76400000
independent_extraction,6,0.76400000
independent_extraction,7,0.76400000
independent_extraction,8,0.79200000
independent_extraction,9,0.79600000
independent_extraction,10,0.79600000
independent_extraction,11,0.79600000
independent_extraction,12,0.79600000
independent_extraction,13,0.79600000
independent_extraction,14,0.79600000
independent_extraction,15,0.79600000
independent_extraction,16,0.79600000
independent_extraction,17,0.79600000
independent_extraction,18,0.79600000
independent_extraction,19,0.79800000
independent_extraction,20,0.79800000
independent_extraction,21,0.79800000
independent_extraction,22,0.79800000
independent_extraction,23,0.79800000
independent_extraction,24,0.79800000
independent_extraction,25,0.80200000
independent_extraction,26,0.80200000
independent_extraction,27,0.80200000
independent_extraction,28,0.80600000
independent_extraction,29,0.80600000
independent_extraction,30,0.80600000
